Params,Micro Precision,Micro Recall,Micro F1,Hamming,Accuracy,Jaccard,Coverage,TR,TR Macro,TL,Runtime
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.8125,0.009083286752375628,0.0179657269209508,0.04224757578820326,0.0033769523005487546,0.009013490144769164,3.0392570704938793,0.0011899401161226762,0.0011899401161226762,3,0 days 00:00:19.996101
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:08.471632
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.8227848101265823,0.009083286752375628,0.01796821008984105,0.042241630449645955,0.0033769523005487546,0.009037611232630227,2.99704516673702,0.0011899401161226762,0.0011899401161226762,3,0 days 00:00:19.699996
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.8125,0.009083286752375628,0.0179657269209508,0.04224757578820326,0.0033769523005487546,0.009013490144769164,3.0392570704938793,0.0011899401161226762,0.0011899401161226762,3,0 days 00:00:20.883805
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:08.399276
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.8227848101265823,0.009083286752375628,0.01796821008984105,0.042241630449645955,0.0033769523005487546,0.009037611232630227,2.99704516673702,0.0011899401161226762,0.0011899401161226762,3,0 days 00:00:19.678007
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.8125,0.009083286752375628,0.0179657269209508,0.04224757578820326,0.0033769523005487546,0.009013490144769164,3.0392570704938793,0.0011899401161226762,0.0011899401161226762,3,0 days 00:00:19.944603
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:08.394364
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.8227848101265823,0.009083286752375628,0.01796821008984105,0.042241630449645955,0.0033769523005487546,0.009037611232630227,2.99704516673702,0.0011899401161226762,0.0011899401161226762,3,0 days 00:00:19.569216
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.825,0.0092230296254891,0.01824212271973466,0.042235685111088654,0.0029548332629801602,0.008746148087642389,3.0392570704938793,0.001175971080088189,0.001175971080088189,3,0 days 00:00:28.360934
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:09.145728
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.825,0.0092230296254891,0.01824212271973466,0.042235685111088654,0.0029548332629801602,0.008746148087642389,3.0392570704938793,0.001175971080088189,0.001175971080088189,3,0 days 00:00:28.354155
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.825,0.0092230296254891,0.01824212271973466,0.042235685111088654,0.0029548332629801602,0.008746148087642389,3.0392570704938793,0.001175971080088189,0.001175971080088189,3,0 days 00:00:28.667304
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:08.416178
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.825,0.0092230296254891,0.01824212271973466,0.042235685111088654,0.0029548332629801602,0.008746148087642389,3.0392570704938793,0.001175971080088189,0.001175971080088189,3,0 days 00:00:28.071977
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.825,0.0092230296254891,0.01824212271973466,0.042235685111088654,0.0029548332629801602,0.008746148087642389,3.0392570704938793,0.001175971080088189,0.001175971080088189,3,0 days 00:00:28.602814
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:08.500897
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.825,0.0092230296254891,0.01824212271973466,0.042235685111088654,0.0029548332629801602,0.008746148087642389,3.0392570704938793,0.001175971080088189,0.001175971080088189,3,0 days 00:00:28.111890
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:35.366250
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:08.327764
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:35.371933
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:36.520586
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:08.266613
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:35.058925
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:35.007804
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:08.284420
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:36.606711
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:40.112188
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:08.776402
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:39.733126
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:40.618154
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:08.523345
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:39.719440
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:40.887512
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.5015533310321022,0.20304639463387367,0.2890679399184323,0.04249133466905273,0.061629379485014776,0.20300088918986622,79.65386238919375,0.026810189648994877,0.026810189648994877,10,0 days 00:00:08.369779
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.8205128205128205,0.008943543879262158,0.017694221730716064,0.04224757578820326,0.0029548332629801602,0.008464735395929993,2.95483326298016,0.00114564921347408,0.00114564921347408,3,0 days 00:00:39.717161
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.7915057915057915,0.028647288988261597,0.055293324342548876,0.04164709659391554,0.008442380751371888,0.0267807593419666,9.07555930772478,0.003469349724327445,0.003469349724327445,3,0 days 00:00:15.380922
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.5638297872340425,0.14812744550027948,0.23461708720672864,0.04111796146231547,0.06205149852258337,0.16349162339107265,66.14605318699873,0.018495320596702263,0.018495320596702263,10,0 days 00:00:06.980196
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.7854406130268199,0.028647288988261597,0.055278414453283,0.04165898727103015,0.008442380751371888,0.02679080979524204,9.202195018995358,0.0034644472572894084,0.0034644472572894084,3,0 days 00:00:15.285397
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.7915057915057915,0.028647288988261597,0.055293324342548876,0.04164709659391554,0.008442380751371888,0.0267807593419666,9.07555930772478,0.003469349724327445,0.003469349724327445,3,0 days 00:00:15.362370
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.5638297872340425,0.14812744550027948,0.23461708720672864,0.04111796146231547,0.06205149852258337,0.16349162339107265,66.14605318699873,0.018495320596702263,0.018495320596702263,10,0 days 00:00:06.861539
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.7854406130268199,0.028647288988261597,0.055278414453283,0.04165898727103015,0.008442380751371888,0.02679080979524204,9.202195018995358,0.0034644472572894084,0.0034644472572894084,3,0 days 00:00:15.626309
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.7915057915057915,0.028647288988261597,0.055293324342548876,0.04164709659391554,0.008442380751371888,0.0267807593419666,9.07555930772478,0.003469349724327445,0.003469349724327445,3,0 days 00:00:15.406376
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.5638297872340425,0.14812744550027948,0.23461708720672864,0.04111796146231547,0.06205149852258337,0.16349162339107265,66.14605318699873,0.018495320596702263,0.018495320596702263,10,0 days 00:00:07.067729
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.7854406130268199,0.028647288988261597,0.055278414453283,0.04165898727103015,0.008442380751371888,0.02679080979524204,9.202195018995358,0.0034644472572894084,0.0034644472572894084,3,0 days 00:00:15.372386
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.789272030651341,0.02878703186137507,0.05554806525549413,0.04164709659391554,0.008020261713803293,0.026464170063790152,9.07555930772478,0.0034651856223690295,0.0034651856223690295,3,0 days 00:00:21.622700
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.5638297872340425,0.14812744550027948,0.23461708720672864,0.04111796146231547,0.06205149852258337,0.16349162339107265,66.14605318699873,0.018495320596702263,0.018495320596702263,10,0 days 00:00:07.313618
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.789272030651341,0.02878703186137507,0.05554806525549413,0.04164709659391554,0.008020261713803293,0.026464170063790152,9.07555930772478,0.0034651856223690295,0.0034651856223690295,3,0 days 00:00:21.712644
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.789272030651341,0.02878703186137507,0.05554806525549413,0.04164709659391554,0.008020261713803293,0.026464170063790152,9.07555930772478,0.0034651856223690295,0.0034651856223690295,3,0 days 00:00:21.933675
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.5638297872340425,0.14812744550027948,0.23461708720672864,0.04111796146231547,0.06205149852258337,0.16349162339107265,66.14605318699873,0.018495320596702263,0.018495320596702263,10,0 days 00:00:07.574655
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.789272030651341,0.02878703186137507,0.05554806525549413,0.04164709659391554,0.008020261713803293,0.026464170063790152,9.07555930772478,0.0034651856223690295,0.0034651856223690295,3,0 days 00:00:22.192322
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.789272030651341,0.02878703186137507,0.05554806525549413,0.04164709659391554,0.008020261713803293,0.026464170063790152,9.07555930772478,0.0034651856223690295,0.0034651856223690295,3,0 days 00:00:21.803034
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.5638297872340425,0.14812744550027948,0.23461708720672864,0.04111796146231547,0.06205149852258337,0.16349162339107265,66.14605318699873,0.018495320596702263,0.018495320596702263,10,0 days 00:00:07.081963
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.789272030651341,0.02878703186137507,0.05554806525549413,0.04164709659391554,0.008020261713803293,0.026464170063790152,9.07555930772478,0.0034651856223690295,0.0034651856223690295,3,0 days 00:00:21.712630
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.789272030651341,0.02878703186137507,0.05554806525549413,0.04164709659391554,0.008020261713803293,0.026464170063790152,9.07555930772478,0.0034651856223690295,0.0034651856223690295,3,0 days 00:00:26.368818
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.5638297872340425,0.14812744550027948,0.23461708720672864,0.04111796146231547,0.06205149852258337,0.16349162339107265,66.14605318699873,0.018495320596702263,0.018495320596702263,10,0 days 00:00:07.541548
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.789272030651341,0.02878703186137507,0.05554806525549413,0.04164709659391554,0.008020261713803293,0.026464170063790152,9.07555930772478,0.0034651856223690295,0.0034651856223690295,3,0 days 00:00:27.141504
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.789272030651341,0.02878703186137507,0.05554806525549413,0.04164709659391554,0.008020261713803293,0.026464170063790152,9.07555930772478,0.0034651856223690295,0.0034651856223690295,3,0 days 00:00:26.349756
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.5638297872340425,0.14812744550027948,0.23461708720672864,0.04111796146231547,0.06205149852258337,0.16349162339107265,66.14605318699873,0.018495320596702263,0.018495320596702263,10,0 days 00:00:07.342421
