Params,Micro Precision,Micro Recall,Micro F1,Hamming,Accuracy,Jaccard,Coverage,TR,TR Macro,TL,Runtime
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.6806615776081425,0.0747624371157071,0.13472676907579956,0.04085636656579409,0.03799071338117349,0.08606088828340056,26.509075559307725,0.01468009109267303,0.01468009109267303,24,0 days 00:00:17.758349
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.47449259462424576,0.2417551704863052,0.3203110535086095,0.043650675687727035,0.07176023638666104,0.2260706466668503,82.39763613338963,0.057140658826047776,0.057140658826047776,42,0 days 00:00:06.392440
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.6852331606217616,0.07392397987702627,0.1334510595358224,0.04084447588867948,0.036724356268467706,0.08473989325197918,25.960320810468552,0.014885746693797906,0.014885746693797906,25,0 days 00:00:17.509494
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.6806615776081425,0.0747624371157071,0.13472676907579956,0.04085636656579409,0.03799071338117349,0.08606088828340056,26.509075559307725,0.01468009109267303,0.01468009109267303,24,0 days 00:00:18.705370
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.47449259462424576,0.2417551704863052,0.3203110535086095,0.043650675687727035,0.07176023638666104,0.2260706466668503,82.39763613338963,0.057140658826047776,0.057140658826047776,42,0 days 00:00:06.441853
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.6852331606217616,0.07392397987702627,0.1334510595358224,0.04084447588867948,0.036724356268467706,0.08473989325197918,25.960320810468552,0.014885746693797906,0.014885746693797906,25,0 days 00:00:17.606770
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.6806615776081425,0.0747624371157071,0.13472676907579956,0.04085636656579409,0.03799071338117349,0.08606088828340056,26.509075559307725,0.01468009109267303,0.01468009109267303,24,0 days 00:00:17.606309
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.47449259462424576,0.2417551704863052,0.3203110535086095,0.043650675687727035,0.07176023638666104,0.2260706466668503,82.39763613338963,0.057140658826047776,0.057140658826047776,42,0 days 00:00:06.369779
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.6852331606217616,0.07392397987702627,0.1334510595358224,0.04084447588867948,0.036724356268467706,0.08473989325197918,25.960320810468552,0.014885746693797906,0.014885746693797906,25,0 days 00:00:17.662624
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.708649468892261,0.06525992174399106,0.11951375559820858,0.04090987461280983,0.036724356268467706,0.07945091447152054,23.42760658505699,0.011557663854867775,0.011557663854867775,21,0 days 00:00:26.031543
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.4735117422173676,0.24231414197875908,0.32057681641708263,0.043698238396185474,0.07133811734909244,0.22596569908406397,82.39763613338963,0.05707415526984106,0.05707415526984106,43,0 days 00:00:07.196265
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.711890243902439,0.06525992174399106,0.11955965181771634,0.040892038597137914,0.036724356268467706,0.07966197399030484,23.385394681300127,0.011581262376681096,0.011581262376681096,21,0 days 00:00:26.933814
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.708649468892261,0.06525992174399106,0.11951375559820858,0.04090987461280983,0.036724356268467706,0.07945091447152054,23.42760658505699,0.011557663854867775,0.011557663854867775,21,0 days 00:00:26.046671
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.4735117422173676,0.24231414197875908,0.32057681641708263,0.043698238396185474,0.07133811734909244,0.22596569908406397,82.39763613338963,0.05707415526984106,0.05707415526984106,43,0 days 00:00:07.163646
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.711890243902439,0.06525992174399106,0.11955965181771634,0.040892038597137914,0.036724356268467706,0.07966197399030484,23.385394681300127,0.011581262376681096,0.011581262376681096,21,0 days 00:00:26.005151
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.708649468892261,0.06525992174399106,0.11951375559820858,0.04090987461280983,0.036724356268467706,0.07945091447152054,23.42760658505699,0.011557663854867775,0.011557663854867775,21,0 days 00:00:26.029309
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.4735117422173676,0.24231414197875908,0.32057681641708263,0.043698238396185474,0.07133811734909244,0.22596569908406397,82.39763613338963,0.05707415526984106,0.05707415526984106,43,0 days 00:00:07.219450
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.711890243902439,0.06525992174399106,0.11955965181771634,0.040892038597137914,0.036724356268467706,0.07966197399030484,23.385394681300127,0.011581262376681096,0.011581262376681096,21,0 days 00:00:26.882282
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.7174887892376681,0.06707657909446618,0.12268370607028754,0.04081474919589296,0.03799071338117349,0.0823179995462882,23.723089911355004,0.011563819560057583,0.011563819560057583,19,0 days 00:00:32.005872
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.4735117422173676,0.24231414197875908,0.32057681641708263,0.043698238396185474,0.07133811734909244,0.22596569908406397,82.39763613338963,0.05707415526984106,0.05707415526984106,43,0 days 00:00:07.759733
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.7206537890044576,0.06777529346003354,0.12389832673393791,0.040779077164549135,0.038412832418742084,0.08294112764936562,23.84972562262558,0.011842767382176165,0.011842767382176165,19,0 days 00:00:32.023634
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.7174887892376681,0.06707657909446618,0.12268370607028754,0.04081474919589296,0.03799071338117349,0.0823179995462882,23.723089911355004,0.011563819560057583,0.011563819560057583,19,0 days 00:00:31.971763
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.4735117422173676,0.24231414197875908,0.32057681641708263,0.043698238396185474,0.07133811734909244,0.22596569908406397,82.39763613338963,0.05707415526984106,0.05707415526984106,43,0 days 00:00:07.778995
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.7206537890044576,0.06777529346003354,0.12389832673393791,0.040779077164549135,0.038412832418742084,0.08294112764936562,23.84972562262558,0.011842767382176165,0.011842767382176165,19,0 days 00:00:32.731847
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.7174887892376681,0.06707657909446618,0.12268370607028754,0.04081474919589296,0.03799071338117349,0.0823179995462882,23.723089911355004,0.011563819560057583,0.011563819560057583,19,0 days 00:00:32.150320
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.4735117422173676,0.24231414197875908,0.32057681641708263,0.043698238396185474,0.07133811734909244,0.22596569908406397,82.39763613338963,0.05707415526984106,0.05707415526984106,43,0 days 00:00:07.808669
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.7206537890044576,0.06777529346003354,0.12389832673393791,0.040779077164549135,0.038412832418742084,0.08294112764936562,23.84972562262558,0.011842767382176165,0.011842767382176165,19,0 days 00:00:32.048844
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.7115942028985507,0.06861375069871437,0.12515931684935,0.04080880385733566,0.039257070493879276,0.08409108223959037,24.44069227522161,0.011923701817347527,0.011923701817347527,19,0 days 00:00:36.596710
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.4735117422173676,0.24231414197875908,0.32057681641708263,0.043698238396185474,0.07133811734909244,0.22596569908406397,82.39763613338963,0.05707415526984106,0.05707415526984106,43,0 days 00:00:08.132693
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.7124087591240876,0.06819452207937395,0.12447391914296645,0.04081474919589296,0.039257070493879276,0.08374936682822533,24.271844660194176,0.011935126116586984,0.011935126116586984,19,0 days 00:00:35.681446
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.7115942028985507,0.06861375069871437,0.12515931684935,0.04080880385733566,0.039257070493879276,0.08409108223959037,24.44069227522161,0.011923701817347527,0.011923701817347527,19,0 days 00:00:35.599887
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.4735117422173676,0.24231414197875908,0.32057681641708263,0.043698238396185474,0.07133811734909244,0.22596569908406397,82.39763613338963,0.05707415526984106,0.05707415526984106,43,0 days 00:00:08.162983
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.7124087591240876,0.06819452207937395,0.12447391914296645,0.04081474919589296,0.039257070493879276,0.08374936682822533,24.271844660194176,0.011935126116586984,0.011935126116586984,19,0 days 00:00:36.660583
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.7115942028985507,0.06861375069871437,0.12515931684935,0.04080880385733566,0.039257070493879276,0.08409108223959037,24.44069227522161,0.011923701817347527,0.011923701817347527,19,0 days 00:00:35.636325
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.4735117422173676,0.24231414197875908,0.32057681641708263,0.043698238396185474,0.07133811734909244,0.22596569908406397,82.39763613338963,0.05707415526984106,0.05707415526984106,43,0 days 00:00:08.116772
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.7124087591240876,0.06819452207937395,0.12447391914296645,0.04081474919589296,0.039257070493879276,0.08374936682822533,24.271844660194176,0.011935126116586984,0.011935126116586984,19,0 days 00:00:35.759506
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.6680203045685279,0.09195081050866406,0.16165090283748926,0.04057693565360079,0.043056141831996624,0.10303422321262405,31.95441114394259,0.019310555071214864,0.019310555071214864,25,0 days 00:00:13.372033
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.48314606741573035,0.23434879821129123,0.3156111790721747,0.04324044732727305,0.07091599831152386,0.22212624771666536,80.03376952300549,0.05295647262090095,0.05295647262090095,42,0 days 00:00:06.170814
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.6616161616161617,0.09153158188932364,0.160815123987233,0.04064233437773114,0.043478260869565216,0.10272903967611928,32.33431827775433,0.01918267742854891,0.01918267742854891,26,0 days 00:00:14.081456
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.6680203045685279,0.09195081050866406,0.16165090283748926,0.04057693565360079,0.043056141831996624,0.10303422321262405,31.95441114394259,0.019310555071214864,0.019310555071214864,25,0 days 00:00:13.451397
