Params,Micro Precision,Micro Recall,Micro F1,Hamming,Accuracy,Jaccard,Coverage,TR,TR Macro,TL,Runtime
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:23.096309
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:10.575905
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:23.187113
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:23.290287
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:10.667492
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:22.525184
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:23.483147
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:10.613244
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:23.067770
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:33.083344
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:10.552142
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:32.607225
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:32.836666
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:11.526737
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:32.810333
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:33.278327
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:11.189348
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:34.928637
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:43.730913
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:11.032954
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:42.999315
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:43.064813
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:11.599310
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:43.132409
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:42.143250
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:10.966142
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:42.577667
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:47.740297
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:10.965424
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:47.383058
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:47.454906
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:10.689028
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:47.564295
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:47.029861
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.3599905638122199,0.21324762437115707,0.267836770513383,0.049601959583588484,0.02448290417897847,0.18472619995510448,99.66230476994512,0.026104953131140876,0.026104953131140876,4,0 days 00:00:10.788070
