Params,Micro Precision,Micro Recall,Micro F1,Hamming,Accuracy,Jaccard,Coverage,TR,TR Macro,TL,Runtime
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.6231203007518797,0.09264952487423142,0.1613138686131387,0.04098716401405478,0.040523427606585054,0.10143252343547826,32.4609539890249,0.020437190324050142,0.020437190324050142,31,0 days 00:00:06.462351
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.4861788617886179,0.25069871436556734,0.33081320302415634,0.04315126724891349,0.07429295061207261,0.23684548449443796,83.91726466863656,0.06224346502303572,0.06224346502303572,51,0 days 00:00:02.272670
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.6225535880708295,0.09334823923979876,0.1623526552436505,0.04098121867549748,0.04094554664415365,0.10274069652499368,32.75643731532292,0.020630525115650066,0.020630525115650066,31,0 days 00:00:06.334255
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.6231203007518797,0.09264952487423142,0.1613138686131387,0.04098716401405478,0.040523427606585054,0.10143252343547826,32.4609539890249,0.020437190324050142,0.020437190324050142,31,0 days 00:00:06.406072
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.4861788617886179,0.25069871436556734,0.33081320302415634,0.04315126724891349,0.07429295061207261,0.23684548449443796,83.91726466863656,0.06224346502303572,0.06224346502303572,51,0 days 00:00:02.325726
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.6225535880708295,0.09334823923979876,0.1623526552436505,0.04098121867549748,0.04094554664415365,0.10274069652499368,32.75643731532292,0.020630525115650066,0.020630525115650066,31,0 days 00:00:06.307899
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.6231203007518797,0.09264952487423142,0.1613138686131387,0.04098716401405478,0.040523427606585054,0.10143252343547826,32.4609539890249,0.020437190324050142,0.020437190324050142,31,0 days 00:00:06.469081
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.4861788617886179,0.25069871436556734,0.33081320302415634,0.04315126724891349,0.07429295061207261,0.23684548449443796,83.91726466863656,0.06224346502303572,0.06224346502303572,51,0 days 00:00:02.261752
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.6225535880708295,0.09334823923979876,0.1623526552436505,0.04098121867549748,0.04094554664415365,0.10274069652499368,32.75643731532292,0.020630525115650066,0.020630525115650066,31,0 days 00:00:06.316493
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.6518771331058021,0.080072666294019,0.14262601120099563,0.04095743732126826,0.038834951456310676,0.09119489862419368,28.535246939636977,0.0168698337690889,0.0168698337690889,26,0 days 00:00:09.455627
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.48512709572742024,0.25069871436556734,0.33056937534549474,0.043198829957371926,0.07429295061207261,0.23677963411199834,83.91726466863656,0.06208530313100026,0.06208530313100026,51,0 days 00:00:02.647760
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.6511363636363636,0.080072666294019,0.14260826281732206,0.04096338265982556,0.038834951456310676,0.09095770792689323,28.619670747150693,0.016835638735270667,0.016835638735270667,27,0 days 00:00:09.481075
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.6518771331058021,0.080072666294019,0.14262601120099563,0.04095743732126826,0.038834951456310676,0.09119489862419368,28.535246939636977,0.0168698337690889,0.0168698337690889,26,0 days 00:00:09.512546
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.48512709572742024,0.25069871436556734,0.33056937534549474,0.043198829957371926,0.07429295061207261,0.23677963411199834,83.91726466863656,0.06208530313100026,0.06208530313100026,51,0 days 00:00:02.576695
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.6511363636363636,0.080072666294019,0.14260826281732206,0.04096338265982556,0.038834951456310676,0.09095770792689323,28.619670747150693,0.016835638735270667,0.016835638735270667,27,0 days 00:00:09.415061
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.6518771331058021,0.080072666294019,0.14262601120099563,0.04095743732126826,0.038834951456310676,0.09119489862419368,28.535246939636977,0.0168698337690889,0.0168698337690889,26,0 days 00:00:10.234584
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.48512709572742024,0.25069871436556734,0.33056937534549474,0.043198829957371926,0.07429295061207261,0.23677963411199834,83.91726466863656,0.06208530313100026,0.06208530313100026,51,0 days 00:00:02.598276
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 10, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.6511363636363636,0.080072666294019,0.14260826281732206,0.04096338265982556,0.038834951456310676,0.09095770792689323,28.619670747150693,0.016835638735270667,0.016835638735270667,27,0 days 00:00:09.487329
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",0.6565774155995343,0.07881498043599776,0.14073611977542108,0.04094554664415365,0.03799071338117349,0.08977577462170117,27.986492190797808,0.016559790717141174,0.016559790717141174,26,0 days 00:00:11.618903
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.48512709572742024,0.25069871436556734,0.33056937534549474,0.043198829957371926,0.07429295061207261,0.23677963411199834,83.91726466863656,0.06208530313100026,0.06208530313100026,51,0 days 00:00:02.819354
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",0.6569428238039673,0.07867523756288429,0.14052165231498814,0.04094554664415365,0.03799071338117349,0.08974059803523712,27.986492190797808,0.016539727316796086,0.016539727316796086,26,0 days 00:00:11.645772
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",0.6565774155995343,0.07881498043599776,0.14073611977542108,0.04094554664415365,0.03799071338117349,0.08977577462170117,27.986492190797808,0.016559790717141174,0.016559790717141174,26,0 days 00:00:11.639593
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.48512709572742024,0.25069871436556734,0.33056937534549474,0.043198829957371926,0.07429295061207261,0.23677963411199834,83.91726466863656,0.06208530313100026,0.06208530313100026,51,0 days 00:00:02.873236
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",0.6569428238039673,0.07867523756288429,0.14052165231498814,0.04094554664415365,0.03799071338117349,0.08974059803523712,27.986492190797808,0.016539727316796086,0.016539727316796086,26,0 days 00:00:11.627742
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",0.6565774155995343,0.07881498043599776,0.14073611977542108,0.04094554664415365,0.03799071338117349,0.08977577462170117,27.986492190797808,0.016559790717141174,0.016559790717141174,26,0 days 00:00:11.761980
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.48512709572742024,0.25069871436556734,0.33056937534549474,0.043198829957371926,0.07429295061207261,0.23677963411199834,83.91726466863656,0.06208530313100026,0.06208530313100026,51,0 days 00:00:02.869287
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 15, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",0.6569428238039673,0.07867523756288429,0.14052165231498814,0.04094554664415365,0.03799071338117349,0.08974059803523712,27.986492190797808,0.016539727316796086,0.016539727316796086,26,0 days 00:00:11.717498
